Description:
Start date: 2022-06-03 00:00:00
End date: 2022-09-06 00:00:00
Sampling interval: 30T
Animal: Animal 15
Tag: 201610060186
Sex: Male
Cage: 3

Data:
date, duration, values, day
2022-06-28 13:30:00,377.329,2,2022-06-28
2022-06-28 14:00:00,39.539,1,2022-06-28
2022-06-28 14:30:00,0.0,0,2022-06-28
2022-06-28 15:00:00,0.0,0,2022-06-28
2022-06-28 15:30:00,0.0,0,2022-06-28
2022-06-28 16:00:00,40.425,2,2022-06-28
2022-06-28 16:30:00,0.727,1,2022-06-28
2022-06-28 17:00:00,64.61,1,2022-06-28
2022-06-28 17:30:00,75.083,1,2022-06-28
2022-06-28 18:00:00,471.9,3,2022-06-28
2022-06-28 18:30:00,117.621,1,2022-06-28
2022-06-28 19:00:00,23.016,1,2022-06-28
2022-06-28 19:30:00,104.161,0,2022-06-28
2022-06-28 20:00:00,0.0,0,2022-06-28
2022-06-28 20:30:00,0.0,0,2022-06-28
2022-06-28 21:00:00,0.0,0,2022-06-28
2022-06-28 21:30:00,0.0,0,2022-06-28
2022-06-28 22:00:00,0.0,0,2022-06-28
2022-06-28 22:30:00,0.0,0,2022-06-28
2022-06-28 23:00:00,0.0,0,2022-06-28
2022-06-28 23:30:00,0.0,0,2022-06-28
2022-06-29 00:00:00,0.0,0,2022-06-29
2022-06-29 00:30:00,0.0,0,2022-06-29
2022-06-29 01:00:00,86.646,7,2022-06-29
2022-06-29 01:30:00,45.414,2,2022-06-29
2022-06-29 02:00:00,16.973,2,2022-06-29
2022-06-29 02:30:00,0.0,0,2022-06-29
2022-06-29 03:00:00,0.0,0,2022-06-29
2022-06-29 03:30:00,0.0,0,2022-06-29
2022-06-29 04:00:00,0.0,0,2022-06-29
2022-06-29 04:30:00,90.012,4,2022-06-29
2022-06-29 05:00:00,0.0,0,2022-06-29
2022-06-29 05:30:00,37.779,1,2022-06-29
2022-06-29 06:00:00,0.0,0,2022-06-29
2022-06-29 06:30:00,0.0,0,2022-06-29
2022-06-29 07:00:00,92.591,4,2022-06-29
2022-06-29 07:30:00,30.444,2,2022-06-29
2022-06-29 08:00:00,453.501,2,2022-06-29
2022-06-29 08:30:00,0.0,0,2022-06-29
2022-06-29 09:00:00,38.391,1,2022-06-29
2022-06-29 09:30:00,518.747,1,2022-06-29
2022-06-29 10:00:00,131.296,2,2022-06-29
2022-06-29 10:30:00,29.564,1,2022-06-29
2022-06-29 11:00:00,242.182,2,2022-06-29
2022-06-29 11:30:00,0.0,0,2022-06-29
2022-06-29 12:00:00,215.321,1,2022-06-29
2022-06-29 12:30:00,0.0,0,2022-06-29
2022-06-29 13:00:00,110.814,2,2022-06-29
2022-06-29 13:30:00,96.639,1,2022-06-29
2022-06-29 14:00:00,371.445,1,2022-06-29
2022-06-29 14:30:00,64.708,4,2022-06-29
2022-06-29 15:00:00,45.456,1,2022-06-29
2022-06-29 15:30:00,0.0,0,2022-06-29
2022-06-29 16:00:00,0.0,0,2022-06-29
2022-06-29 16:30:00,0.0,0,2022-06-29
2022-06-29 17:00:00,0.0,0,2022-06-29
2022-06-29 17:30:00,87.805,3,2022-06-29
2022-06-29 18:00:00,248.286,2,2022-06-29
2022-06-29 18:30:00,61.929,2,2022-06-29
2022-06-29 19:00:00,3.251,0,2022-06-29
2022-06-29 19:30:00,0.0,0,2022-06-29
2022-06-29 20:00:00,0.0,0,2022-06-29
2022-06-29 20:30:00,0.0,0,2022-06-29
2022-06-29 21:00:00,0.0,0,2022-06-29
2022-06-29 21:30:00,0.0,0,2022-06-29
2022-06-29 22:00:00,0.0,0,2022-06-29
2022-06-29 22:30:00,0.0,0,2022-06-29
2022-06-29 23:00:00,0.0,0,2022-06-29
2022-06-29 23:30:00,9.498,1,2022-06-29
2022-06-30 00:00:00,0.0,0,2022-06-30
2022-06-30 00:30:00,0.0,0,2022-06-30
2022-06-30 01:00:00,0.0,0,2022-06-30
2022-06-30 01:30:00,0.0,0,2022-06-30
2022-06-30 02:00:00,106.206,3,2022-06-30
2022-06-30 02:30:00,41.776,2,2022-06-30
2022-06-30 03:00:00,0.0,0,2022-06-30
2022-06-30 03:30:00,0.0,0,2022-06-30
2022-06-30 04:00:00,0.0,0,2022-06-30
2022-06-30 04:30:00,0.0,0,2022-06-30
2022-06-30 05:00:00,0.0,0,2022-06-30
2022-06-30 05:30:00,0.0,0,2022-06-30
2022-06-30 06:00:00,58.422,3,2022-06-30
2022-06-30 06:30:00,0.0,0,2022-06-30
2022-06-30 07:00:00,97.249,3,2022-06-30
2022-06-30 07:30:00,64.898,3,2022-06-30
2022-06-30 08:00:00,31.207,1,2022-06-30
2022-06-30 08:30:00,51.782,2,2022-06-30
2022-06-30 09:00:00,0.0,0,2022-06-30
2022-06-30 09:30:00,0.0,0,2022-06-30
2022-06-30 10:00:00,128.9,1,2022-06-30
2022-06-30 10:30:00,58.422,1,2022-06-30
2022-06-30 11:00:00,47.294,1,2022-06-30
2022-06-30 11:30:00,140.304,2,2022-06-30
2022-06-30 12:00:00,0.0,0,2022-06-30
2022-06-30 12:30:00,0.0,0,2022-06-30
2022-06-30 13:00:00,0.0,0,2022-06-30
2022-06-30 13:30:00,0.0,0,2022-06-30
2022-06-30 14:00:00,0.0,0,2022-06-30
2022-06-30 14:30:00,0.0,0,2022-06-30
2022-06-30 15:00:00,37.947,1,2022-06-30
2022-06-30 15:30:00,93.713,3,2022-06-30
2022-06-30 16:00:00,25.048,1,2022-06-30
2022-06-30 16:30:00,30.9,1,2022-06-30
2022-06-30 17:00:00,0.0,0,2022-06-30
2022-06-30 17:30:00,24.424,1,2022-06-30
2022-06-30 18:00:00,291.762,3,2022-06-30
2022-06-30 18:30:00,0.0,0,2022-06-30
2022-06-30 19:00:00,58.95,2,2022-06-30
2022-06-30 19:30:00,0.0,0,2022-06-30
2022-06-30 20:00:00,0.0,0,2022-06-30
2022-06-30 20:30:00,0.0,0,2022-06-30
2022-06-30 21:00:00,0.0,0,2022-06-30
2022-06-30 21:30:00,0.0,0,2022-06-30
2022-06-30 22:00:00,0.0,0,2022-06-30
2022-06-30 22:30:00,0.0,0,2022-06-30
2022-06-30 23:00:00,2.302,1,2022-06-30
2022-06-30 23:30:00,33.622,2,2022-06-30
2022-07-01 00:00:00,0.0,0,2022-07-01
2022-07-01 00:30:00,0.0,0,2022-07-01
2022-07-01 01:00:00,0.0,0,2022-07-01
2022-07-01 01:30:00,0.0,0,2022-07-01
2022-07-01 02:00:00,0.0,0,2022-07-01
2022-07-01 02:30:00,0.0,0,2022-07-01
2022-07-01 03:00:00,48.709,1,2022-07-01
2022-07-01 03:30:00,0.0,0,2022-07-01
2022-07-01 04:00:00,0.0,0,2022-07-01
2022-07-01 04:30:00,0.0,0,2022-07-01
2022-07-01 05:00:00,0.0,0,2022-07-01
2022-07-01 05:30:00,0.0,0,2022-07-01
2022-07-01 06:00:00,64.022,3,2022-07-01
2022-07-01 06:30:00,0.0,0,2022-07-01
2022-07-01 07:00:00,55.274,3,2022-07-01
2022-07-01 07:30:00,198.643,2,2022-07-01
2022-07-01 08:00:00,83.1,2,2022-07-01
2022-07-01 08:30:00,0.0,0,2022-07-01
2022-07-01 09:00:00,12.367,1,2022-07-01
2022-07-01 09:30:00,74.659,2,2022-07-01
2022-07-01 10:00:00,69.073,2,2022-07-01
2022-07-01 10:30:00,100.036,1,2022-07-01
2022-07-01 11:00:00,58.819,3,2022-07-01
2022-07-01 11:30:00,456.482,3,2022-07-01
2022-07-01 12:00:00,22.535,2,2022-07-01
2022-07-01 12:30:00,0.0,0,2022-07-01
2022-07-01 13:00:00,0.0,0,2022-07-01
2022-07-01 13:30:00,0.0,0,2022-07-01
2022-07-01 14:00:00,8.289,1,2022-07-01
2022-07-01 14:30:00,120.073,2,2022-07-01
2022-07-01 15:00:00,81.448,3,2022-07-01
2022-07-01 15:30:00,0.0,0,2022-07-01
2022-07-01 16:00:00,0.0,0,2022-07-01
2022-07-01 16:30:00,265.669,3,2022-07-01
2022-07-01 17:00:00,366.951,3,2022-07-01
2022-07-01 17:30:00,17.748,2,2022-07-01
2022-07-01 18:00:00,488.68,1,2022-07-01
2022-07-01 18:30:00,89.187,1,2022-07-01
2022-07-01 19:00:00,17.309,1,2022-07-01
2022-07-01 19:30:00,0.0,0,2022-07-01
2022-07-01 20:00:00,0.0,0,2022-07-01
2022-07-01 20:30:00,0.0,0,2022-07-01
2022-07-01 21:00:00,0.0,0,2022-07-01
2022-07-01 21:30:00,0.0,0,2022-07-01
2022-07-01 22:00:00,0.0,0,2022-07-01
2022-07-01 22:30:00,0.0,0,2022-07-01
2022-07-01 23:00:00,0.0,0,2022-07-01
2022-07-01 23:30:00,0.0,0,2022-07-01
2022-07-02 00:00:00,13.274000000000001,1,2022-07-02
2022-07-02 00:30:00,0.0,0,2022-07-02
2022-07-02 01:00:00,31.884,1,2022-07-02
2022-07-02 01:30:00,0.0,0,2022-07-02
2022-07-02 02:00:00,0.0,0,2022-07-02
2022-07-02 02:30:00,0.0,0,2022-07-02
2022-07-02 03:00:00,38.329,2,2022-07-02
2022-07-02 03:30:00,0.0,0,2022-07-02
2022-07-02 04:00:00,0.0,0,2022-07-02
2022-07-02 04:30:00,0.0,0,2022-07-02
2022-07-02 05:00:00,0.0,0,2022-07-02
2022-07-02 05:30:00,0.0,0,2022-07-02
2022-07-02 06:00:00,0.0,0,2022-07-02
2022-07-02 06:30:00,98.497,5,2022-07-02
2022-07-02 07:00:00,44.994,2,2022-07-02
2022-07-02 07:30:00,90.803,2,2022-07-02
2022-07-02 08:00:00,86.345,2,2022-07-02
2022-07-02 08:30:00,0.0,0,2022-07-02
2022-07-02 09:00:00,36.204,1,2022-07-02
2022-07-02 09:30:00,74.323,2,2022-07-02
2022-07-02 10:00:00,61.724,2,2022-07-02
2022-07-02 10:30:00,49.337,2,2022-07-02
2022-07-02 11:00:00,0.0,0,2022-07-02
2022-07-02 11:30:00,0.0,0,2022-07-02
2022-07-02 12:00:00,0.0,0,2022-07-02
2022-07-02 12:30:00,127.188,4,2022-07-02
2022-07-02 13:00:00,1.084,1,2022-07-02
2022-07-02 13:30:00,0.0,0,2022-07-02
2022-07-02 14:00:00,0.0,0,2022-07-02
2022-07-02 14:30:00,0.0,0,2022-07-02
2022-07-02 15:00:00,335.266,4,2022-07-02
2022-07-02 15:30:00,85.331,3,2022-07-02
2022-07-02 16:00:00,58.248,2,2022-07-02
2022-07-02 16:30:00,120.129,1,2022-07-02
2022-07-02 17:00:00,70.878,2,2022-07-02
2022-07-02 17:30:00,35.183,2,2022-07-02
2022-07-02 18:00:00,201.533,2,2022-07-02
2022-07-02 18:30:00,85.184,3,2022-07-02
2022-07-02 19:00:00,0.0,0,2022-07-02
2022-07-02 19:30:00,17.885,1,2022-07-02
2022-07-02 20:00:00,0.0,0,2022-07-02
2022-07-02 20:30:00,0.0,0,2022-07-02
2022-07-02 21:00:00,0.0,0,2022-07-02
2022-07-02 21:30:00,0.0,0,2022-07-02
2022-07-02 22:00:00,0.0,0,2022-07-02
2022-07-02 22:30:00,0.0,0,2022-07-02
2022-07-02 23:00:00,0.0,0,2022-07-02
2022-07-02 23:30:00,0.0,0,2022-07-02
2022-07-03 00:00:00,6.557,1,2022-07-03
2022-07-03 00:30:00,0.0,0,2022-07-03
