Probeset_ID,Symbol,Time,Values,JTKP,JTKQ,JTKperiod,JTKphase,Tissue
10541532,Foxj2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,877.9;974.2;1083.3;1038.1;975.7;914.6;844.0;805.6;762.5;727.6;753.8;854.5;829.0;957.1;942.5;962.3;925.4;857.6;795.1;771.5;686.6;730.5;709.2;895.5,5.33749e-08,4.62877e-05,24.0,0.0,heart
10584561,9030425E11Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,91.9;90.7;97.4;130.2;112.1;101.2;99.1;85.2;75.1;73.4;65.8;64.4;95.3;94.2;97.4;114.3;114.3;112.3;90.3;96.5;75.2;63.1;72.7;84.9,8.8892e-08,6.4503e-05,24.0,2.0,heart
10389701,Akap1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1172.6;1299.2;1242.8;1352.3;1248.0;1228.5;1057.5;1108.3;947.3;1031.9;984.8;1058.9;1130.2;1403.7;1438.9;1337.0;1280.0;1175.6;1117.8;1082.4;880.2;981.7;963.5;1083.2,8.8892e-08,6.4503e-05,24.0,23.5,heart
10540085,Fbln2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,726.1;702.7;712.7;656.4;603.7;573.2;596.4;652.3;670.9;673.9;714.2;793.9;733.9;903.3;946.0;683.9;710.2;646.3;601.4;625.0;671.5;638.2;683.3;749.9,8.8892e-08,6.4503e-05,28.0,19.0,heart
10586722,F830001A07Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,419.5;382.9;388.8;289.0;307.1;315.1;325.6;352.3;406.5;447.0;437.0;398.0;387.7;342.7;315.9;263.3;275.9;305.0;371.5;403.4;395.6;439.7;414.7;432.6,8.8892e-08,6.4503e-05,24.0,14.0,heart
10483000,Itgb6,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,702.5;695.5;713.6;784.0;771.7;729.5;651.7;621.3;515.2;530.0;547.2;616.5;642.4;644.4;699.4;803.1;827.3;742.8;604.3;566.5;538.8;525.8;503.6;596.4,8.8892e-08,6.4503e-05,25.0,0.5,heart
10488382,Cd93,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1585.0;1730.6;1644.5;1856.2;1687.1;1618.9;1667.7;1650.8;1230.0;1220.4;1242.3;1402.5;1589.0;1674.5;1691.9;1841.3;1908.7;1633.9;1513.6;1379.1;1223.6;1213.9;1204.2;1463.4,8.8892e-08,6.4503e-05,24.0,0.0,heart
10504775,Col15a1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,300.2;333.7;395.3;383.6;412.4;453.1;425.5;430.1;346.9;339.0;309.0;317.1;320.4;405.6;424.4;438.3;432.8;378.5;397.0;379.8;336.2;326.1;302.3;339.3,8.8892e-08,6.4503e-05,22.0,5.0,heart
10538459,Aqp1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,2280.9;2125.2;2145.5;1972.6;1786.7;1636.5;1784.4;1977.8;2128.3;2249.6;2523.6;2464.1;2346.5;2474.8;2382.7;2098.8;1960.3;1795.1;1754.7;1791.7;2192.4;2248.5;2530.3;2347.3,8.8892e-08,6.4503e-05,26.0,17.0,heart
10512279,Cntfr,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,191.5;165.0;143.4;124.5;130.6;138.1;145.4;153.7;147.0;160.1;201.0;211.9;188.3;161.7;188.8;151.4;143.1;138.1;133.9;142.5;157.8;163.7;195.6;228.8,1.17426e-07,8.35037e-05,28.0,16.0,heart
