test,period,psd
2_control_dd,2.0470588235294116,28304.949744316662
2_control_dd,2.0410557184750733,4759.404030518481
2_control_dd,2.0350877192982457,50935.12917664081
2_control_dd,2.0291545189504374,3677.422224369098
2_control_dd,2.0232558139534884,19378.799009721548
2_control_dd,2.017391304347826,4280.327200004671
2_control_dd,2.0115606936416186,7173.297039492669
2_control_dd,2.005763688760807,7489.573117570426
2_control_dd,2.0,110565.85073435497
3_induction_dd,46.0,1234783.0801185232
3_induction_dd,42.46153846153846,4128.755760538158
3_induction_dd,39.42857142857142,516424.216031823
3_induction_dd,36.800000000000004,1164385.9698068046
3_induction_dd,34.5,638008.2602358194
3_induction_dd,32.470588235294116,2191813.8292882843
3_induction_dd,30.666666666666668,1873263.0758379612
3_induction_dd,29.05263157894737,28752.50453943019
3_induction_dd,27.599999999999998,269633.6128001235
3_induction_dd,26.285714285714285,303919.5032728619
3_induction_dd,25.09090909090909,342274.9273695384
3_induction_dd,24.0,9574562.15569682
3_induction_dd,23.0,1961191.3924615893
3_induction_dd,22.08,202136.82309520378
3_induction_dd,21.23076923076923,3948295.632884735
3_induction_dd,20.444444444444443,311088.49927424436
3_induction_dd,19.71428571428571,1626125.2465015398
3_induction_dd,19.03448275862069,254793.32274053193
3_induction_dd,18.400000000000002,143695.4299258077
3_induction_dd,17.806451612903224,1324733.4394909982
3_induction_dd,17.25,49805.50942952085
3_induction_dd,16.727272727272727,537549.3194178077
3_induction_dd,16.235294117647058,403872.3886501154
3_induction_dd,15.77142857142857,439366.71453702636
3_induction_dd,15.333333333333334,635740.5442911437
3_induction_dd,14.918918918918918,546821.8630384649
3_induction_dd,14.526315789473685,1806818.5129925204
3_induction_dd,14.153846153846155,565114.6693718008
3_induction_dd,13.799999999999999,226323.51260931266
3_induction_dd,13.463414634146343,178303.10219205072
3_induction_dd,13.142857142857142,425120.7812048786
3_induction_dd,12.837209302325581,861078.6559885035
3_induction_dd,12.545454545454545,36067.09227283731
3_induction_dd,12.266666666666666,1194777.042039234
3_induction_dd,12.0,6817671.889274505
3_induction_dd,11.74468085106383,1072810.1009047152
3_induction_dd,11.5,100292.88886814867
3_induction_dd,11.26530612244898,71704.75006655477
3_induction_dd,11.04,37336.64098533686
3_induction_dd,10.823529411764705,428359.02422075276
3_induction_dd,10.615384615384615,262980.2322402038
3_induction_dd,10.415094339622643,114629.26044850124
3_induction_dd,10.222222222222221,84641.96112193128
3_induction_dd,10.036363636363637,422256.8497718765
3_induction_dd,9.857142857142856,232306.71137952598
3_induction_dd,9.68421052631579,71499.72641751572
3_induction_dd,9.517241379310345,90354.57276300651
3_induction_dd,9.35593220338983,76307.5857589008
3_induction_dd,9.200000000000001,489648.31455282145
3_induction_dd,9.049180327868852,57197.213679868735
3_induction_dd,8.903225806451612,72839.16064640765
3_induction_dd,8.761904761904761,24966.182358541577
3_induction_dd,8.625,234405.05471154716
3_induction_dd,8.492307692307692,157934.20667931598
3_induction_dd,8.363636363636363,52592.0231945247
3_induction_dd,8.238805970149254,69645.15669689234
3_induction_dd,8.117647058823529,224964.76430370612
3_induction_dd,8.0,3249418.5920264362
3_induction_dd,7.885714285714285,584830.0015646529
3_induction_dd,7.774647887323944,240163.30612546217
3_induction_dd,7.666666666666667,171693.89672695575
3_induction_dd,7.561643835616438,6905.465448398068
3_induction_dd,7.459459459459459,70731.7785838082
3_induction_dd,7.36,226063.55975515727
3_induction_dd,7.2631578947368425,401111.7275541578
3_induction_dd,7.1688311688311686,106458.70334612537
3_induction_dd,7.0769230769230775,86562.05320168643
